prediksi20
174541
147704
168205
188776
190803
200566
235198
232255
218443
221282
184803
222546
179273
191926
192579
184907
203388
228045
254907
243154
240947
229904
199861
227251
209093
207195
207907
224704
209058
245652
283524
258377
258440
247565
221603
253591
253286
225993
230957
225488
220700
244080
271512
254079
257363
255021
242781
268072
232935
241868
252210
242369
247972
275667
297878
309219
305629
266562
307276
299013
279257
275795
276573
280096
286033
330396
361066
336763
354762
341651
296876
347370
301748
338991
305272
313763
295973
359702
382683
303621
389060
369447
270935
370640
350592
375744
364113
380767
394557
405835
484231
438135
445716
432215
413232
442800
460824
453985
425499
477464
489376
504141
592046
601884
550520
465085
361006
315909
358065
452423
492678
516777
528512
544550
624366
573766
555903
517889
406725
498819
455570
437456
449569
477069
486602
549516
604323
606412
590398
567967
497925
552403
536611
364639
167461
379
36
45
16
12
8
63
53
150
10
12
3
9
8
2
2
2
2
2
6
2
3
1310
14620
58335
115611
181625
246504
276659
291162
305244
287398
377276
331912
323623
370695
411510
439475
478198
541353
522141
508350
504234.4688
493564.6563
485595.4688
481537.3125
482267.8125
487591.4063
496265.1875
506525.8438
516520.5313
524629.3125
529384.125
531292.5625
530552.875
527655.125
523566.0938
519293.875
515363.625
512537.625
511914.4063
513360.3438
