waktu,pdb
01/01/2022,2819330.4
01/04/2022,2924458
01/07/2022,2977972.9
01/10/2022,2988636.5
01/01/2023,2961539.6
01/04/2023,3075776.6
01/07/2023,3124992.9
01/10/2023,3139084.5
01/01/2024,3113019
01/04/2024,3230971.1
,
,
,
,
,
