waktu,pdb
31/01/2022,2819330.4
31/04/2022,2924458
31/07/2022,2977972.9
31/10/2022,2988636.5
31/01/2023,2961539.6
31/04/2023,3075776.6
31/07/2023,3124992.9
31/10/2023,3139084.5
31/01/2024,3113019
31/04/2024,3230971.1
,
,
,
,
,
